date,aex,ftse100,aus,asx200,atxvienna,cac40,dax,kospi,snp500,snptsx,sse,smiswiss,klse,jkse,stoxx50,bel20,ipc,ibovespa,sti,merval,telaviv100,twitaiwan
01-07-1997,871.310039,4728.299805,2721.199951,2660.199951,1339.869995,2944,3834.800049,758.030029,891.030029,6437.700195,1250.27,5654.799805,1078.900024,731.619019,2445.8,2408.600098,4508.799805,13002,1981.300049,818.400024,290.320007,
02-07-1997,879.02003,4751.399902,2745.899902,2685.800049,1364.75,2909.5,3867.5,777.289978,904.030029,6549,1199.06,5674.299805,1084.880005,730.155029,2452.79,2444.899902,4559.200195,13260,1968.900024,824.109985,294.5,8996.719727
03-07-1997,897.100015,4831.700195,2742.899902,2681.300049,1381.400024,2937,3939.699951,775.26001,916.919983,6588,1150.62,5804.899902,1080.609985,735.492004,2491.58,2488.100098,4591.600098,13285,1962.400024,831.440002,295.149994,9027.629883
04-07-1997,907.19004,4812.799805,2733.399902,2673.100098,1388.180054,2934.5,3946.699951,781.700012,912.200012,6585.399902,1159.34,5846.5,1073.310059,736.596985,2509.09,2473.199951,4644.600098,13494,1985.900024,837.950012,295.149994,9192.570312
07-07-1997,918.850053,4810.700195,2713,2653.699951,1390.579956,2947.699951,4003.399902,773.51001,918.75,6529.100098,1096.82,5947,1060.530029,738.005981,2531.84,2504.5,4741.200195,13502,1998,841.690002,302.769989,9322.839844
08-07-1997,918.040008,4758.5,2679.199951,2621.800049,1391.400024,2929.800049,4030.100098,767.73999,907.539978,6580.799805,1109.67,6012.600098,1057.77002,740.833008,2520.46,2493.199951,4821.100098,13617,2007.199951,846.330017,303.850006,9305.269531
09-07-1997,935.370002,4762.399902,2696.100098,2637,1399.400024,2950.600098,4027,771.98999,913.780029,6574.600098,1120.84,5977.100098,1033.23999,738.138,2544.62,2500.199951,4836.5,13609,1983,845.619995,303.950012,9362.679688
10-07-1997,924.71002,4767.799805,2694.399902,2635.800049,1385.300049,2929.100098,4000.699951,767.77002,916.679993,6592.899902,1120.15,5885.399902,1008.52002,729.151001,2512.98,2486.800049,4862.399902,13153,1968.300049,850.619995,298.73999,9429.740234
11-07-1997,936.510051,4799.5,2699.100098,2641.100098,1386.849976,2941.600098,4074.300049,768.299988,918.380005,6626.399902,1154.92,5801.5,1017.609985,723.416016,2542.17,2492.399902,4821.600098,12698,1967.099976,836.140015,298.73999,9394.629883
14-07-1997,948.169997,4857.399902,2673,2614,1393.900024,2950.699951,4142.200195,764.450012,925.76001,6639.600098,1185.72,5845.799805,1015.5,722.497986,2554.05,2501.300049,4777.100098,11617,1954.599976,807.909973,299.309998,9593.540039
15-07-1997,949.160008,4899.299805,2637.600098,2577.800049,1390.140015,2988,4139.700195,755.049988,936.590027,6655.899902,1200.11,5844.700195,1012.47998,722.208984,2546.57,2489.699951,4694.399902,12640,1937.099976,826.369995,299.399994,9555.980469
16-07-1997,965.250018,4964.200195,2646.399902,2588.600098,1406.339966,2958.600098,4223.700195,739.719971,931.609985,6744.799805,1190.83,5927.5,1004.090027,723.502991,2598.19,2531.100098,4787.399902,11728,1917.900024,815.349976,295.799988,9544.55957
17-07-1997,953.370025,4949,2669.699951,2612.699951,1429.290039,2876.699951,4203.899902,747.369995,915.299988,6755.100098,1197.23,5868.299805,1001.549988,724,2601.8,2541.399902,4816.399902,11182,1920.5,802.109985,298.119995,9571.799805
18-07-1997,941.790041,4877.200195,2684.199951,2626.800049,1430.22998,2874.100098,4131.899902,740.929993,912.940002,6738.200195,1209.86,5737.100098,1022.669983,712.401978,2558.56,2494,4720.5,11292,1924.199951,790.700012,298.119995,9677.400391
21-07-1997,931.340018,4805.700195,2653.399902,2595.800049,1400.23999,2921.100098,4140,725.97998,933.97998,6647.399902,1193.53,5620.5,1018.01001,711.440979,2516.79,2539.5,4590.200195,12235,1950.800049,813.469971,295.480011,9833.769531
22-07-1997,960.620015,4846.700195,2656.399902,2597.699951,1408.439941,3003.5,4297.600098,730.580017,936.559998,6714.299805,1208.25,5677.100098,1034.069946,718.189026,2578.77,2601.600098,4652.200195,12427,1950.5,821.700012,293.429993,9550.400391
23-07-1997,988.479994,4874.5,2683.399902,2624.100098,1452.780029,2973.5,4384.799805,739.039978,940.299988,6765.200195,1198.86,5869.899902,1045.890015,712.046021,2645.05,2581.600098,4742.100098,12544,1974.699951,836.119995,297.320007,9381.05957
24-07-1997,985.250035,4862.899902,2676.399902,2617.100098,1439.650024,3025.899902,4320.5,733.640015,938.789978,6785.200195,1174.22,5849.200195,1041.26001,710.057983,2619.17,2592.800049,4762.700195,12523,1981.300049,841.190002,301.25,9632.419922
25-07-1997,989.030045,4851.5,2691.199951,2631.899902,1435.300049,3022.199951,4368.5,733.919983,936.450012,6780.299805,1170.86,5847,1029.410034,710.81897,2640.14,2621.899902,4722.399902,12938,1981,852.200012,301.25,9808.910156
28-07-1997,992.890017,4862.600098,2723.800049,2664.800049,1464.130005,3023.600098,4400.299805,732.679993,942.289978,6792.299805,1141.78,5888,1031.609985,716.35498,2660.13,2599.800049,4712.200195,13044,1975,849.02002,304.279999,9923.049805
29-07-1997,974.960004,4876.600098,2731.899902,2671.699951,1458.869995,3069.300049,4377.700195,726.890015,952.289978,6801.200195,1153.23,5842.100098,1024.73999,721.979004,2638.05,2596.399902,4797.5,13019,1977.099976,847.23999,305.549988,9892.339844
30-07-1997,975.310048,4927.299805,2735,2672.699951,1474.01001,3075.699951,4458.700195,726.119995,954.309998,6850.600098,1179.42,5929.5,1012.840027,721.27002,2674.56,2579.300049,4974.200195,12872,1966.400024,850.030029,302.329987,9942.790039
31-07-1997,983.330002,4907.5,2735.100098,2673.699951,1480.48999,3049.5,4405.5,731.450012,947.140015,6877.700195,1189.76,5898.200195,1002.630005,721.771973,2674.83,2536,5067.799805,12259,1967.099976,841.080017,306.140015,10066.34961
01-08-1997,980.740009,4899.299805,2727.5,2663,1471.459961,2992.399902,4337,734.190002,950.299988,6851.100098,1192.83,5771,978.559998,718.708984,2656.32,2470.300049,5067,12017,1955.300049,832.719971,306.140015,10001.55957
04-08-1997,979.350053,4895.700195,2706,2641.899902,1452.109985,2984.100098,4302.5,740.859985,952.369995,6851.100098,1200.33,5765.200195,945.080017,713.880005,2614.82,2455.699951,5135.200195,11909,1963.599976,838.710022,309.700012,10065.75977
05-08-1997,979.590007,4960.600098,2707.600098,2642.300049,1436.47998,3037.100098,4325.899902,745.650024,960.320007,6903.100098,1196.27,5812.100098,951.73999,699.856018,2618.3,2466.199951,5183,12523,1951.699951,857.440002,309.790009,9919.679688
06-08-1997,992.890017,5026.200195,2707.600098,2662.600098,1448.5,3056.300049,4364.299805,745.349976,951.190002,6933.700195,1171.94,5922.100098,928.330017,677.838989,2667.77,2479.800049,5212.899902,12323,1958.599976,849.880005,311.76001,9861.469727
07-08-1997,1010.970069,5086.799805,2717.699951,2652.5,1465,2996.300049,4428.100098,752.01001,933.539978,6945.100098,1199.24,5864.799805,932.359985,675.435974,2699.78,2431.5,5195.299805,12129,1953.199951,850.72998,311.559998,9840.879883
08-08-1997,996.160058,5031.299805,2711.399902,2643.800049,1432.670044,2983.399902,4342.299805,765.070007,937,6895.200195,1206.05,5825.600098,902.140015,658.169983,2654.07,2420.600098,5075.100098,11949,1943.900024,853.289978,311.559998,9923.839844
11-08-1997,973.070032,5031.899902,2667.199951,2600.899902,1425.589966,2998.600098,4333.200195,762.02002,926.530029,6840.399902,1184.08,5808.399902,897.25,662.947021,2625.86,2452,5043.700195,11810,1893.900024,841.049988,302.820007,9897.269531
12-08-1997,978.400057,5075.799805,2650.5,2583.399902,1430.300049,2924,4377.5,762.72998,922.02002,6808.5,1146.81,5682.100098,908.830017,658.604004,2645.81,2399.100098,5002.899902,11851,1893.5,836.940002,302.820007,9807.740234
13-08-1997,935.759994,5003.600098,2623.600098,2559.699951,1408.140015,2921.800049,4237.100098,755.780029,924.77002,6791,1120.13,5579.5,918.539978,643.010986,2578.11,2417.899902,5016.600098,11905,1875.400024,840.450012,297.670013,9556.120117
14-08-1997,935.590049,4991.299805,2627.399902,2564,1382.75,2870.100098,4195.5,747.289978,900.809998,6766.899902,1168.11,5498.5,910.179993,617.705994,2558.3,2370.300049,5014.600098,11335,1891.800049,838.710022,301.359985,9632.339844
15-08-1997,894.420039,4865.799805,2666.199951,2602.199951,1349.780029,2936.199951,4077.600098,741.289978,912.48999,6695.100098,1143.06,5405.600098,880.450012,599.635986,2503.46,2398.699951,4956.600098,11338,1953.800049,850.01001,301.359985,9770.799805
18-08-1997,917.480004,4835,2618.5,2555.399902,1389.560059,2979.300049,4080.600098,746.22998,926.01001,6655.299805,1134.63,5580.100098,885.309998,590.530029,2508.04,2423.399902,4952.899902,11211,1918.900024,866.469971,294.679993,9712.450195
19-08-1997,947.450069,4914.200195,2620.899902,2557.5,1406.430054,2957.199951,4190.5,739.469971,939.349976,6715.899902,1132.91,5690.100098,929.570007,593.171021,2549.74,2420.600098,5041.5,10849,1918.5,862.059998,295.670013,9855.160156
20-08-1997,959.720054,4958.399902,2630.699951,2567.199951,1388.209961,2904.199951,4251.899902,736.619995,925.049988,6773.100098,1144.64,5668.799805,909.23999,603.059998,2589.14,2367.300049,5124.200195,11180,1943.900024,843.799988,298.040009,10025.12988
21-08-1997,950.290036,4978,2649.699951,2584.5,1325.339966,2898.600098,4204.799805,741.76001,923.539978,6733,1164.55,5475.799805,905,574.39502,2581.93,2360.800049,5070.5,11158,1946.599976,846.909973,297.459991,10020.54981
22-08-1997,918.420046,4901.100098,2620.300049,2554.600098,1346.689941,2869.300049,4090.100098,734.030029,920.159973,6709.799805,1171.83,5473.899902,883.960022,540.929016,2515.62,2341.800049,5023.399902,11422,1945.400024,846.52002,297.459991,10011.46973
25-08-1997,922.190036,4901.100098,2637.100098,2571.5,1331.290039,2871.699951,4076.800049,730.280029,913.02002,6732.899902,1184.1,5363.299805,856,554.237976,2513.53,2341,4996.200195,11626,1913.599976,861.849976,289.649994,10116.83984
26-08-1997,903.440024,4886.299805,2626.300049,2558.800049,1354.650024,2828.399902,3993.699951,716.859985,913.700012,6697.899902,1194.04,5409.600098,847.919983,555.461975,2466.54,2315.199951,4916.5,11719,1925.199951,865.299988,287.709991,10050.66992
27-08-1997,907.32999,4906.899902,2626.5,2557.899902,1353.880005,2770.5,3992,704.27002,903.669983,6674.200195,1198.51,5217.299805,812.179993,530.366028,2467.04,2318.800049,4912.899902,11267,1916,832.929993,288.559998,9827.490234
28-08-1997,877.27001,4845.399902,2631.300049,2563.199951,1335.900024,2805.800049,3897.399902,682.200012,899.469971,6633,1213.89,5216.700195,804.400024,493.962006,2438.6,2354.300049,4789.399902,10609,1846.599976,810.049988,287.519989,9504.990234
